Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
46.78,46.78,198.91%,0.9785,0.0019,-0.3680,0.0071,11/19/25,140.00,0.08,0.08,170.38%,-0.0097,0.0011,-0.1520,0.0036,11/19/25
41.57,41.57,128.42%,0.9965,0.0006,-0.0617,0.0014,11/19/25,145.00,0.12,0.12,160.65%,-0.0147,0.0017,-0.2060,0.0051,11/19/25
39.35,39.70,158.08%,0.9819,0.0020,-0.2577,0.0061,11/19/25,147.00,0.13,0.13,154.83%,-0.0163,0.0019,-0.2174,0.0056,11/19/25
38.25,39.15,198.44%,0.9505,0.0037,-0.7154,0.0141,11/19/25,148.00,0.15,0.15,154.33%,-0.0186,0.0021,-0.2422,0.0063,11/19/25
37.97,37.97,180.00%,0.9603,0.0034,-0.5474,0.0118,11/19/25,149.00,0.17,0.17,153.44%,-0.0209,0.0024,-0.2657,0.0069,11/19/25
36.60,36.60,125.16%,0.9918,0.0013,-0.1124,0.0031,11/19/25,150.00,0.17,0.17,149.52%,-0.0214,0.0025,-0.2642,0.0071,11/19/25
33.93,34.35,154.09%,0.9659,0.0036,-0.4172,0.0104,11/19/25,152.50,0.20,0.20,143.59%,-0.0256,0.0030,-0.2953,0.0082,11/19/25
32.10,32.10,162.62%,0.9452,0.0049,-0.6382,0.0153,11/19/25,155.00,0.26,0.26,140.09%,-0.0330,0.0038,-0.3552,0.0102,11/19/25
29.68,29.68,156.08%,0.9362,0.0058,-0.6888,0.0173,11/19/25,157.50,0.32,0.32,135.21%,-0.0408,0.0047,-0.4078,0.0121,11/19/25
27.21,27.21,146.18%,0.9297,0.0067,-0.6953,0.0186,11/19/25,160.00,0.42,0.42,132.06%,-0.0526,0.0059,-0.4888,0.0148,11/19/25
24.90,24.90,143.69%,0.9117,0.0081,-0.8093,0.0221,11/19/25,162.50,0.56,0.54,128.14%,-0.0664,0.0073,-0.5692,0.0178,11/19/25
22.45,22.45,133.73%,0.9015,0.0094,-0.8166,0.0240,11/19/25,165.00,0.71,0.71,125.60%,-0.0858,0.0090,-0.6776,0.0216,11/19/25
20.37,20.37,136.74%,0.8677,0.0113,-1.0258,0.0296,11/19/25,167.50,0.96,0.96,124.02%,-0.1113,0.0111,-0.8097,0.0262,11/19/25
18.01,18.01,127.94%,0.8482,0.0133,-1.0524,0.0324,11/19/25,170.00,1.30,1.28,122.60%,-0.1424,0.0133,-0.9503,0.0311,11/19/25
15.97,15.97,127.13%,0.8105,0.0154,-1.2031,0.0374,11/19/25,172.50,1.71,1.71,121.58%,-0.1800,0.0156,-1.0977,0.0362,11/19/25
14.02,14.02,125.97%,0.7681,0.0175,-1.3400,0.0421,11/19/25,175.00,2.25,2.25,120.84%,-0.2237,0.0179,-1.2428,0.0413,11/19/25
12.30,12.30,127.32%,0.7175,0.0192,-1.4985,0.0467,11/19/25,177.50,2.97,2.94,120.76%,-0.2738,0.0200,-1.3826,0.0460,11/19/25
10.60,10.60,126.20%,0.6664,0.0209,-1.5964,0.0502,11/19/25,180.00,3.74,3.74,120.14%,-0.3275,0.0218,-1.4910,0.0498,11/19/25
8.98,9.08,125.89%,0.6113,0.0221,-1.6766,0.0529,11/19/25,182.50,4.71,4.71,120.05%,-0.3853,0.0231,-1.5771,0.0528,11/19/25
7.65,7.65,124.79%,0.5545,0.0229,-1.7124,0.0546,11/19/25,185.00,5.80,5.80,119.42%,-0.4448,0.0240,-1.6203,0.0546,11/19/25
6.40,6.40,124.28%,0.4965,0.0233,-1.7203,0.0551,11/19/25,187.50,7.06,7.06,119.14%,-0.5053,0.0243,-1.6310,0.0551,11/19/25
5.25,5.25,122.96%,0.4383,0.0232,-1.6809,0.0544,11/19/25,190.00,8.41,8.41,117.76%,-0.5662,0.0244,-1.5887,0.0543,11/19/25
4.25,4.25,121.78%,0.3811,0.0227,-1.6089,0.0526,11/19/25,192.50,10.15,9.90,116.20%,-0.6263,0.0236,-1.5076,0.0523,11/19/25
3.47,3.47,122.25%,0.3286,0.0214,-1.5315,0.0499,11/19/25,195.00,11.70,11.70,117.96%,-0.6787,0.0220,-1.4461,0.0495,11/19/25
2.72,2.72,120.77%,0.2766,0.0201,-1.4002,0.0462,11/19/25,197.50,13.38,13.38,114.57%,-0.7359,0.0207,-1.2799,0.0451,11/19/25
2.14,2.14,120.41%,0.2309,0.0183,-1.2690,0.0420,11/19/25,200.00,15.45,15.45,117.20%,-0.7763,0.0185,-1.1955,0.0413,11/19/25
1.68,1.68,120.52%,0.1909,0.0164,-1.1357,0.0376,11/19/25,202.50,17.45,17.45,115.80%,-0.8200,0.0164,-1.0346,0.0362,11/19/25
1.27,1.27,119.53%,0.1536,0.0144,-0.9800,0.0327,11/19/25,205.00,19.50,19.50,112.73%,-0.8622,0.0142,-0.8422,0.0304,11/19/25
0.98,0.98,119.84%,0.1240,0.0124,-0.8493,0.0283,11/19/25,207.50,21.15,21.15,82.56%,-0.9575,0.0080,-0.2451,0.0125,11/19/25
0.74,0.74,119.74%,0.0983,0.0105,-0.7183,0.0239,11/19/25,210.00,23.79,23.79,100.01%,-0.9416,0.0094,-0.3884,0.0161,11/19/25
0.54,0.54,119.00%,0.0758,0.0087,-0.5875,0.0197,11/19/25,212.50,26.50,26.50,119.67%,-0.9236,0.0087,-0.5782,0.0198,11/19/25
0.39,0.39,118.40%,0.0576,0.0071,-0.4728,0.0159,11/19/25,215.00,28.38,28.53,88.12%,-0.9853,0.0031,-0.1026,0.0051,11/19/25
0.31,0.31,120.31%,0.0466,0.0059,-0.4059,0.0135,11/19/25,217.50,30.73,31.45,132.76%,-0.9354,0.0069,-0.5636,0.0174,11/19/25
0.24,0.24,121.58%,0.0370,0.0048,-0.3399,0.0112,11/19/25,220.00,33.45,33.73,124.67%,-0.9599,0.0051,-0.3574,0.0119,11/19/25
0.17,0.17,121.09%,0.0274,0.0038,-0.2642,0.0087,11/19/25,222.50,36.75,36.75,163.86%,-0.9184,0.0067,-0.8374,0.0208,11/19/25
0.15,0.15,124.92%,0.0239,0.0033,-0.2429,0.0078,11/19/25,225.00,37.99,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,11/19/25
0.11,0.11,125.15%,0.0181,0.0026,-0.1923,0.0061,11/19/25,227.50,41.00,41.00,109.89%,-0.9933,0.0013,-0.0626,0.0025,11/19/25
0.09,0.09,127.34%,0.0149,0.0021,-0.1656,0.0052,11/19/25,230.00,43.50,43.50,115.17%,-0.9936,0.0012,-0.0634,0.0025,11/19/25
0.07,0.07,128.59%,0.0118,0.0017,-0.1365,0.0042,11/19/25,232.50,50.11,46.30,164.37%,-0.9604,0.0038,-0.4701,0.0118,11/18/25
0.07,0.07,133.93%,0.0114,0.0016,-0.1378,0.0041,11/19/25,235.00,48.08,48.68,158.34%,-0.9726,0.0029,-0.3304,0.0087,11/19/25
"Downloaded from Barchart.com as of 11-19-2025 06:53pm CST"
